,0
2020-02-19,4.401999999999999
2020-02-26,2.0025999999999997
2020-03-04,4.2004
2020-03-11,4.0024
2020-03-18,2.4004
2020-03-25,4.0006
2020-04-01,2.0007999999999995
2020-04-08,0.001
2020-04-15,2.2005999999999997
2020-04-22,0.020800000000000003
2020-04-29,0.001
2020-05-06,0.001
2020-05-13,0.040600000000000004
2020-05-20,0.022600000000000002
2020-05-27,0.022600000000000002
2020-06-03,0.001
2020-06-10,0.020800000000000003
2020-06-17,0.20079999999999995
2020-06-24,0.020800000000000003
2020-07-01,0.20079999999999992
2020-07-08,0.0028000000000000004
2020-07-15,0.0046
2020-07-22,4.0006
2020-07-29,4.0006
2020-08-05,2.2005999999999997
2020-08-12,4.0006
2020-08-19,0.020800000000000003
2020-08-26,0.022600000000000002
2020-09-02,0.2224
2020-09-09,2.0008
2020-09-16,2.2006
2020-09-23,2.0206
2020-09-30,4.0006
2020-10-07,0.20079999999999995
2020-10-14,0.020800000000000003
2020-10-21,0.001
2020-10-28,0.20079999999999995
2020-11-04,0.001
2020-11-11,0.001
2020-11-18,2.0007999999999995
2020-11-25,2.0025999999999997
2020-12-02,2.0008
2020-12-09,4.0006
2020-12-16,0.2008
2020-12-23,2.0224
2020-12-30,0.020800000000000003
2021-01-06,0.022600000000000002
2021-01-13,2.0007999999999995
2021-01-20,2.0025999999999997
2021-01-27,4.0006
2021-02-03,2.0008
2021-02-10,6.0202
2021-02-17,2.0025999999999997
2021-02-24,0.24220000000000003
2021-03-03,6.202
2021-03-10,4.2004
2021-03-17,2.4021999999999997
2021-03-24,4.2004
2021-03-31,4.2004
2021-04-07,4.2021999999999995
2021-04-14,4.2004
2021-04-21,2.0007999999999995
2021-04-28,2.0242
2021-05-05,4.0042
2021-05-12,2.0061999999999998
2021-05-19,2.0224
2021-05-26,2.2024
2021-06-02,6.2002
2021-06-09,2.2204
2021-06-16,4.0024
2021-06-23,4.2004
2021-06-30,6.2002
2021-07-07,2.0026
2021-07-14,2.0403999999999995
2021-07-21,4.2021999999999995
2021-07-28,4.2202
2021-08-04,2.0206
2021-08-11,4.24
2021-08-18,4.0204
2021-08-25,4.2004
2021-09-01,4.0006
2021-09-08,4.0006
2021-09-15,0.022600000000000002
2021-09-22,0.20259999999999995
2021-09-29,2.0025999999999997
2021-10-06,2.2005999999999997
2021-10-13,2.0223999999999998
2021-10-20,2.4202
2021-10-27,2.2024
2021-11-03,2.4004
2021-11-10,6.200200000000001
2021-11-17,2.4202
2021-11-24,2.0422
2021-12-01,0.024399999999999998
2021-12-08,2.2024
2021-12-15,0.6003999999999999
2021-12-22,2.2024
2021-12-29,2.0008
2022-01-05,0.20079999999999992
2022-01-12,2.0206
2022-01-19,0.020800000000000003
2022-01-26,4.0006
2022-02-02,4.0006
2022-02-09,2.0007999999999995
2022-02-16,2.2005999999999997
2022-02-23,4.002400000000001
2022-03-02,6.0004
2022-03-09,4.0006
2022-03-16,0.20079999999999995
2022-03-23,4.002400000000001
2022-03-30,2.0026
2022-04-06,2.2006
2022-04-13,2.2024
2022-04-20,4.2004
2022-04-27,2.0025999999999997
2022-05-04,2.0008
2022-05-11,0.022600000000000002
2022-05-18,2.0205999999999995
2022-05-25,2.0242
2022-06-01,4.0024
2022-06-08,4.002400000000001
2022-06-15,6.020200000000001
2022-06-22,4.2021999999999995
2022-06-29,4.0024
2022-07-06,2.0025999999999997
2022-07-13,4.0006
2022-07-20,4.0006
2022-07-27,0.001
2022-08-03,2.0008
2022-08-10,2.0026
2022-08-17,2.0025999999999997
2022-08-24,2.0025999999999997
2022-08-31,2.2024
2022-09-07,0.022600000000000002
2022-09-14,0.001
2022-09-21,4.0006
2022-09-28,2.2006
2022-10-05,2.0223999999999998
2022-10-12,2.2006
2022-10-19,4.0006
2022-10-26,0.20079999999999992
2022-11-02,2.0008
2022-11-09,4.2004
2022-11-16,2.4004
2022-11-23,0.001
2022-11-30,0.0028000000000000004
2022-12-07,2.0025999999999997
2022-12-14,0.20259999999999995
2022-12-21,0.20079999999999992
2022-12-28,0.20079999999999992
2023-01-04,2.0025999999999997
2023-01-11,2.0007999999999995
2023-01-18,2.0007999999999995
2023-01-25,2.2006
2023-02-01,2.2005999999999997
2023-02-08,4.2004
2023-02-15,2.2203999999999997
2023-02-22,0.4023999999999999
2023-03-01,2.0044
2023-03-08,4.2004
2023-03-15,4.2004
2023-03-22,2.0422
2023-03-29,2.2024
2023-04-05,2.2024
2023-04-12,2.0008
2023-04-19,6.4
2023-04-26,8.000200000000001
2023-05-03,8.0002
2023-05-10,2.2005999999999997
2023-05-17,2.2222
2023-05-24,2.2204
2023-05-31,2.2222
2023-06-07,2.0223999999999998
2023-06-14,4.2202
2023-06-21,2.0206
2023-06-28,0.20079999999999992
2023-07-05,2.2024
2023-07-12,0.20079999999999992
2023-07-19,2.0007999999999995
2023-07-26,2.2005999999999997
2023-08-02,2.2203999999999997
2023-08-09,0.022600000000000002
2023-08-16,2.0223999999999998
2023-08-23,2.0043999999999995
2023-08-30,4.2021999999999995
2023-09-06,4.2202
2023-09-13,6.020200000000001
2023-09-20,2.2402
2023-09-27,0.44020000000000004
2023-10-04,0.4204
2023-10-11,0.6202
2023-10-18,6.202
2023-10-25,6.220000000000001
2023-11-01,6.0004
2023-11-08,6.2002
2023-11-15,6.0202
2023-11-22,6.0004
2023-11-29,2.0205999999999995
2023-12-06,2.0223999999999998
2023-12-13,2.0403999999999995
2023-12-20,2.0025999999999997
2023-12-27,0.022600000000000002
2024-01-03,0.20079999999999992
2024-01-10,2.0007999999999995
2024-01-17,0.022600000000000002
2024-01-24,4.0006
2024-01-31,2.0026
2024-02-07,2.0025999999999997
2024-02-14,4.0024
2024-02-21,4.2004
2024-02-28,4.2004
2024-03-06,2.0043999999999995
2024-03-13,2.2006
2024-03-20,4.2004
2024-03-27,4.0006
2024-04-03,4.4002
2024-04-10,6.020200000000001
2024-04-17,4.42
2024-04-24,2.4004
2024-05-01,2.4021999999999997
2024-05-08,4.2004
2024-05-15,2.4004000000000003
2024-05-22,2.0008
2024-05-29,4.2004
2024-06-05,0.20259999999999997
2024-06-12,2.2041999999999997
2024-06-19,2.2239999999999998
2024-06-26,2.62
2024-07-03,2.4202
2024-07-10,6.0202
2024-07-17,8.2
2024-07-24,4.2004
2024-07-31,4.2004
2024-08-07,6.0022
2024-08-14,0.4023999999999999
2024-08-21,2.0206
2024-08-28,0.2404
2024-09-04,0.020800000000000003
2024-09-11,2.2024
2024-09-18,2.2005999999999997
2024-09-25,4.0006
2024-10-02,0.2206
2024-10-09,0.020800000000000003
2024-10-16,2.0205999999999995
2024-10-23,0.40059999999999996
2024-10-30,2.2005999999999997
2024-11-06,2.2006
2024-11-13,6.0022
2024-11-20,4.0006
2024-11-27,2.0026
2024-12-04,6.220000000000001
2024-12-11,6.022
2024-12-18,6.202
2024-12-25,4.2202
2025-01-01,2.404
2025-01-08,4.0042
2025-01-15,2.0043999999999995
2025-01-22,2.2401999999999997
2025-01-29,2.2222
2025-02-05,4.2021999999999995
2025-02-12,4.2219999999999995
2025-02-19,4.0042
2025-02-26,4.6
2025-03-05,2.2222
2025-03-12,0.024399999999999998
2025-03-19,8.000200000000001
2025-03-26,4.0203999999999995
