date,bitcoin,dogecoin,stellar,ripple,litecoin,tether,ethereum,bitcoin-cash,binancecoin,cardano,tron,chainlink,weth,usd-coin
2021-05-31 00:00:00+00:00,2090436443782.0737,455413638597.1264,75459468254.41742,301675263006.5806,294054103393.7857,5266604999912.276,2082689275782.0027,258973787864.41547,177573996357.7916,231156173887.1895,119656227628.8564,85620800414.60663,1442168372.0584688,122860391004.73055
2021-06-30 00:00:00+00:00,1138481884198.2786,117989711698.93265,22859487424.15155,111864342785.19856,104091272498.92715,2295590384572.7114,953341330414.1077,120278173738.7955,97390004531.93709,118465501869.55276,45575326015.3181,39498288724.3422,1468336376.341852,85083766800.18546
2021-07-31 00:00:00+00:00,794896836703.7251,57902928956.251465,13697757177.394905,69117275380.93617,55850464946.69993,1510076581400.0,658716644891.8528,103505785766.48112,43720625574.72642,52582894623.18293,29171563140.554985,23847901278.392105,4552090690.966745,64385601691.18728
2021-08-31 00:00:00+00:00,1064064919189.015,90123440429.14679,21474803128.591805,168548098512.23956,66224107346.09588,1917637433542.773,778842160075.904,118720740390.6409,60114310956.53297,130403803165.25287,38095573245.27605,37534031584.97305,5068719690.466493,77334449970.03946
2021-09-30 00:00:00+00:00,1087478477905.1388,47683803868.92714,20794571921.892666,136026835382.24394,98614026875.59914,2200176458471.768,732395203049.0437,191996446064.13193,55634065706.91801,130395011557.9364,55592232003.99559,47317767285.377495,28875576972.82118,88189624566.63606
2021-10-31 00:00:00+00:00,1165919754762.8374,88543627706.7348,22527414689.77019,141769036464.9873,79606309584.00093,2207354553291.451,656509977450.7109,244893924323.2958,62325861908.46247,61894203522.56198,47161995049.56424,34943613435.66744,34488033422.095474,87400313117.33981
2021-11-30 00:00:00+00:00,1105693814029.2864,55538066264.18717,19626887643.639732,126469146999.87122,75852321356.4372,3111733514047.5713,602398160500.2207,178904260100.29044,70656649047.27168,65989966311.24921,64814360731.578514,32321906825.233517,45646107495.633095,104963202853.88463
2021-12-31 00:00:00+00:00,904322010847.3461,43764597694.06174,15805642425.456642,109168202844.98392,42545413101.27975,1925664453527.785,646772254665.2506,67764575585.96443,50015779244.833885,49035249083.11976,42327346709.23763,31161868866.010937,31057498902.165615,109566587842.11879
2022-01-31 00:00:00+00:00,827278002295.7971,35901486602.01082,11108349943.077946,74349762198.16595,27918695190.299286,1639938326210.0674,492216555882.7769,49198479369.37542,56714322266.86228,52914610952.48956,31551703102.040966,47706941559.59947,30481697108.07699,104960932720.73636
2022-02-28 00:00:00+00:00,562932631881.5945,19843406094.25989,7929065977.715728,103572021514.09985,21065202961.833603,1244972877514.5693,426477110754.79504,37683157496.34031,35907060536.080124,32476038539.70439,22830118954.32398,17598731741.192314,18558915900.841488,91948277751.35207
2022-03-31 00:00:00+00:00,718721006108.4626,19895548102.4523,8381415813.679488,105002082922.80591,21456375684.41219,1537398605804.6975,427183548900.2143,37125526196.06741,42071255516.108986,34370315225.86342,24371319145.777756,17444439365.43251,31223058530.113045,101830373774.95383
2022-04-30 00:00:00+00:00,770851886915.3564,44581720429.56969,8007375946.882207,82467921744.77365,19044704660.223537,1667958983050.3086,480108918594.44214,17958395546.29759,49563029288.64865,27936244005.101036,34968427280.595764,14940762603.46257,50834572564.93415,130722923198.80052
2022-05-31 00:00:00+00:00,977337279795.201,23668032567.45686,7224236038.497852,96482771858.83241,39393211906.5762,1851105235235.0698,591915245391.0476,22980224585.34971,63014638961.54976,31821344404.95193,57174753741.87425,15651763332.338192,65117926807.04266,216438214861.9752
